event_time,machine_id,temperature,vibration,rpm
2025-06-19T13:57:30.565226Z,M-003,73.09,0.022,1464
2025-06-19T13:57:31.565226Z,M-002,71.62,0.017,1442
2025-06-19T13:57:32.565226Z,M-004,83.69,0.02,1548
2025-06-19T13:57:33.565226Z,M-003,79.3,0.022,1574
2025-06-19T13:57:34.565226Z,M-005,89.71,0.023,1446
2025-06-19T13:57:35.565226Z,M-004,65.94,0.027,1525
2025-06-19T13:57:36.565226Z,M-001,89.17,0.027,1544
2025-06-19T13:57:37.565226Z,M-004,86.39,0.023,1469
2025-06-19T13:57:38.565226Z,M-001,85.71,0.02,1483
2025-06-19T13:57:39.565226Z,M-004,68.72,0.026,1478
2025-06-19T13:57:40.565226Z,M-005,68.57,0.022,1445
2025-06-19T13:57:41.565226Z,M-005,80.26,0.025,1536
2025-06-19T13:57:42.565226Z,M-004,74.62,0.02,1550
2025-06-19T13:57:43.565226Z,M-002,72.08,0.019,1448
2025-06-19T13:57:44.565226Z,M-003,76.94,0.023,1403
2025-06-19T13:57:45.565226Z,M-002,76.14,0.027,1512
2025-06-19T13:57:46.565226Z,M-001,73.51,0.024,1452
2025-06-19T13:57:47.565226Z,M-003,82.26,0.012,1533
2025-06-19T13:57:48.565226Z,M-003,86.19,0.02,1543
2025-06-19T13:57:49.565226Z,M-005,79.74,0.011,1469
2025-06-19T13:57:50.565226Z,M-004,78.23,0.025,1481
2025-06-19T13:57:51.565226Z,M-002,80.72,0.027,1504
2025-06-19T13:57:52.565226Z,M-004,88.14,0.01,1466
2025-06-19T13:57:53.565226Z,M-003,75.31,0.022,1572
2025-06-19T13:57:54.565226Z,M-005,79.28,0.018,1572
2025-06-19T13:57:55.565226Z,M-005,86.07,0.026,1557
2025-06-19T13:57:56.565226Z,M-005,66.4,0.022,1492
2025-06-19T13:57:57.565226Z,M-002,68.8,0.02,1579
2025-06-19T13:57:58.565226Z,M-002,67.25,0.028,1583
2025-06-19T13:57:59.565226Z,M-005,82.3,0.017,1515
2025-06-19T13:58:00.565226Z,M-003,68.57,0.02,1586
2025-06-19T13:58:01.565226Z,M-001,65.1,0.012,1583
2025-06-19T13:58:02.565226Z,M-003,67.95,0.024,1472
2025-06-19T13:58:03.565226Z,M-003,85.24,0.011,1542
2025-06-19T13:58:04.565226Z,M-005,63.2,0.025,1564
2025-06-19T13:58:05.565226Z,M-003,78.14,0.021,1514
2025-06-19T13:58:06.565226Z,M-003,83.23,0.025,1496
2025-06-19T13:58:07.565226Z,M-001,73.3,0.023,1533
2025-06-19T13:58:08.565226Z,M-001,65.84,0.012,1415
2025-06-19T13:58:09.565226Z,M-002,60.5,0.013,1575
2025-06-19T13:58:10.565226Z,M-001,66.63,0.017,1539
2025-06-19T13:58:11.565226Z,M-003,88.05,0.011,1542
2025-06-19T13:58:12.565226Z,M-001,67.02,0.025,1532
2025-06-19T13:58:13.565226Z,M-003,79.76,0.017,1460
2025-06-19T13:58:14.565226Z,M-003,60.36,0.023,1413
2025-06-19T13:58:15.565226Z,M-002,86.41,0.028,1478
2025-06-19T13:58:16.565226Z,M-005,82.74,0.025,1504
2025-06-19T13:58:17.565226Z,M-001,79.56,0.022,1460
2025-06-19T13:58:18.565226Z,M-003,87.59,0.011,1520
2025-06-19T13:58:19.565226Z,M-001,80.47,0.023,1580
2025-06-19T13:58:20.565226Z,M-005,89.92,0.02,1592
2025-06-19T13:58:21.565226Z,M-002,61.95,0.025,1469
2025-06-19T13:58:22.565226Z,M-001,75.95,0.02,1559
2025-06-19T13:58:23.565226Z,M-004,89.96,0.024,1527
2025-06-19T13:58:24.565226Z,M-001,87.03,0.019,1496
2025-06-19T13:58:25.565226Z,M-004,71.59,0.012,1509
2025-06-19T13:58:26.565226Z,M-005,62.37,0.026,1411
2025-06-19T13:58:27.565226Z,M-003,87.71,0.013,1574
2025-06-19T13:58:28.565226Z,M-002,66.59,0.013,1597
2025-06-19T13:58:29.565226Z,M-005,65.58,0.012,1506
2025-06-19T13:58:30.565226Z,M-004,66.18,0.025,1493
2025-06-19T13:58:31.565226Z,M-001,88.51,0.028,1512
2025-06-19T13:58:32.565226Z,M-004,85.39,0.029,1439
2025-06-19T13:58:33.565226Z,M-001,86.75,0.029,1490
2025-06-19T13:58:34.565226Z,M-003,75.06,0.018,1522
2025-06-19T13:58:35.565226Z,M-001,81.97,0.025,1560
2025-06-19T13:58:36.565226Z,M-002,60.19,0.017,1527
2025-06-19T13:58:37.565226Z,M-005,81.26,0.022,1431
2025-06-19T13:58:38.565226Z,M-003,80.97,0.025,1589
2025-06-19T13:58:39.565226Z,M-003,84.1,0.015,1589
2025-06-19T13:58:40.565226Z,M-002,71.47,0.016,1439
2025-06-19T13:58:41.565226Z,M-001,85.18,0.012,1496
2025-06-19T13:58:42.565226Z,M-003,68.96,0.013,1587
2025-06-19T13:58:43.565226Z,M-002,62.62,0.025,1564
2025-06-19T13:58:44.565226Z,M-003,67.69,0.014,1424
2025-06-19T13:58:45.565226Z,M-003,62.35,0.024,1448
2025-06-19T13:58:46.565226Z,M-002,71.66,0.015,1494
2025-06-19T13:58:47.565226Z,M-005,72.6,0.017,1513
2025-06-19T13:58:48.565226Z,M-005,83.68,0.025,1408
2025-06-19T13:58:49.565226Z,M-002,81.05,0.025,1512
2025-06-19T13:58:50.565226Z,M-003,61.34,0.021,1582
2025-06-19T13:58:51.565226Z,M-003,66.68,0.01,1583
2025-06-19T13:58:52.565226Z,M-005,75.06,0.025,1473
2025-06-19T13:58:53.565226Z,M-002,78.1,0.014,1477
2025-06-19T13:58:54.565226Z,M-002,60.78,0.025,1419
2025-06-19T13:58:55.565226Z,M-002,71.51,0.016,1440
2025-06-19T13:58:56.565226Z,M-002,62.21,0.015,1423
2025-06-19T13:58:57.565226Z,M-005,85.32,0.016,1582
2025-06-19T13:58:58.565226Z,M-002,62.23,0.014,1518
2025-06-19T13:58:59.565226Z,M-002,70.06,0.029,1474
2025-06-19T13:59:00.565226Z,M-004,86.52,0.017,1571
2025-06-19T13:59:01.565226Z,M-002,60.25,0.013,1558
2025-06-19T13:59:02.565226Z,M-004,87.3,0.026,1497
2025-06-19T13:59:03.565226Z,M-004,67.74,0.013,1417
2025-06-19T13:59:04.565226Z,M-004,86.16,0.012,1563
2025-06-19T13:59:05.565226Z,M-001,70.35,0.023,1440
2025-06-19T13:59:06.565226Z,M-003,66.41,0.019,1418
2025-06-19T13:59:07.565226Z,M-003,72.61,0.029,1579
2025-06-19T13:59:08.565226Z,M-003,86.9,0.017,1491
2025-06-19T13:59:09.565226Z,M-004,89.0,0.02,1518
2025-06-19T13:59:10.565226Z,M-002,76.82,0.026,1463
2025-06-19T13:59:11.565226Z,M-005,76.13,0.022,1565
2025-06-19T13:59:12.565226Z,M-004,62.57,0.019,1549
2025-06-19T13:59:13.565226Z,M-002,88.54,0.02,1536
2025-06-19T13:59:14.565226Z,M-001,65.24,0.017,1479
2025-06-19T13:59:15.565226Z,M-001,61.68,0.027,1563
2025-06-19T13:59:16.565226Z,M-002,81.9,0.029,1515
2025-06-19T13:59:17.565226Z,M-003,81.95,0.017,1438
2025-06-19T13:59:18.565226Z,M-005,84.72,0.014,1447
2025-06-19T13:59:19.565226Z,M-003,65.49,0.013,1429
2025-06-19T13:59:20.565226Z,M-004,76.26,0.023,1564
2025-06-19T13:59:21.565226Z,M-004,64.58,0.016,1566
2025-06-19T13:59:22.565226Z,M-005,86.88,0.026,1595
2025-06-19T13:59:23.565226Z,M-002,81.86,0.028,1513
2025-06-19T13:59:24.565226Z,M-004,61.33,0.011,1560
2025-06-19T13:59:25.565226Z,M-001,73.55,0.011,1455
2025-06-19T13:59:26.565226Z,M-005,67.83,0.027,1597
2025-06-19T13:59:27.565226Z,M-005,61.6,0.029,1484
2025-06-19T13:59:28.565226Z,M-004,74.2,0.029,1535
2025-06-19T13:59:29.565226Z,M-002,73.91,0.018,1525
2025-06-19T13:59:30.565226Z,M-004,85.17,0.018,1537
2025-06-19T13:59:31.565226Z,M-001,85.62,0.022,1478
2025-06-19T13:59:32.565226Z,M-003,73.43,0.028,1466
2025-06-19T13:59:33.565226Z,M-003,80.8,0.025,1515
2025-06-19T13:59:34.565226Z,M-005,75.21,0.027,1591
2025-06-19T13:59:35.565226Z,M-004,79.39,0.018,1465
2025-06-19T13:59:36.565226Z,M-005,89.95,0.023,1485
2025-06-19T13:59:37.565226Z,M-005,75.97,0.022,1503
2025-06-19T13:59:38.565226Z,M-001,78.14,0.015,1544
2025-06-19T13:59:39.565226Z,M-001,80.88,0.018,1493
2025-06-19T13:59:40.565226Z,M-003,71.16,0.022,1528
2025-06-19T13:59:41.565226Z,M-002,89.14,0.02,1563
2025-06-19T13:59:42.565226Z,M-001,86.35,0.012,1430
2025-06-19T13:59:43.565226Z,M-001,65.38,0.019,1413
2025-06-19T13:59:44.565226Z,M-004,72.33,0.029,1411
2025-06-19T13:59:45.565226Z,M-001,86.77,0.027,1488
2025-06-19T13:59:46.565226Z,M-004,73.08,0.024,1534
2025-06-19T13:59:47.565226Z,M-001,78.2,0.018,1406
2025-06-19T13:59:48.565226Z,M-001,87.71,0.019,1474
2025-06-19T13:59:49.565226Z,M-003,81.98,0.014,1426
2025-06-19T13:59:50.565226Z,M-003,63.15,0.023,1478
2025-06-19T13:59:51.565226Z,M-005,65.85,0.026,1400
2025-06-19T13:59:52.565226Z,M-004,82.74,0.024,1537
2025-06-19T13:59:53.565226Z,M-002,75.22,0.022,1500
2025-06-19T13:59:54.565226Z,M-002,85.04,0.014,1513
2025-06-19T13:59:55.565226Z,M-001,75.18,0.029,1536
2025-06-19T13:59:56.565226Z,M-004,68.47,0.024,1561
2025-06-19T13:59:57.565226Z,M-002,65.91,0.013,1521
2025-06-19T13:59:58.565226Z,M-003,62.23,0.025,1448
2025-06-19T13:59:59.565226Z,M-001,86.09,0.027,1435
2025-06-19T14:00:00.565226Z,M-005,60.9,0.026,1551
2025-06-19T14:00:01.565226Z,M-002,62.97,0.026,1451
2025-06-19T14:00:02.565226Z,M-004,86.38,0.011,1599
2025-06-19T14:00:03.565226Z,M-002,74.22,0.025,1455
2025-06-19T14:00:04.565226Z,M-001,69.88,0.029,1486
2025-06-19T14:00:05.565226Z,M-005,83.43,0.022,1509
2025-06-19T14:00:06.565226Z,M-002,63.33,0.021,1563
2025-06-19T14:00:07.565226Z,M-002,84.72,0.023,1411
2025-06-19T14:00:08.565226Z,M-003,84.74,0.014,1557
2025-06-19T14:00:09.565226Z,M-004,77.18,0.022,1449
2025-06-19T14:00:10.565226Z,M-002,85.24,0.012,1462
2025-06-19T14:00:11.565226Z,M-001,83.63,0.023,1443
2025-06-19T14:00:12.565226Z,M-005,76.9,0.013,1443
2025-06-19T14:00:13.565226Z,M-001,86.79,0.017,1515
2025-06-19T14:00:14.565226Z,M-004,76.62,0.025,1460
2025-06-19T14:00:15.565226Z,M-001,80.25,0.015,1526
2025-06-19T14:00:16.565226Z,M-005,62.6,0.02,1511
2025-06-19T14:00:17.565226Z,M-003,77.23,0.022,1543
2025-06-19T14:00:18.565226Z,M-003,87.38,0.025,1402
2025-06-19T14:00:19.565226Z,M-002,81.05,0.017,1572
2025-06-19T14:00:20.565226Z,M-002,70.58,0.023,1438
2025-06-19T14:00:21.565226Z,M-005,86.76,0.011,1546
2025-06-19T14:00:22.565226Z,M-005,62.87,0.02,1456
2025-06-19T14:00:23.565226Z,M-001,85.92,0.013,1401
2025-06-19T14:00:24.565226Z,M-005,61.2,0.018,1565
2025-06-19T14:00:25.565226Z,M-002,76.95,0.024,1400
2025-06-19T14:00:26.565226Z,M-001,82.79,0.021,1506
2025-06-19T14:00:27.565226Z,M-003,83.04,0.013,1538
2025-06-19T14:00:28.565226Z,M-001,64.08,0.015,1531
2025-06-19T14:00:29.565226Z,M-001,74.31,0.012,1468
2025-06-19T14:00:30.565226Z,M-002,63.03,0.024,1572
2025-06-19T14:00:31.565226Z,M-003,88.69,0.013,1534
2025-06-19T14:00:32.565226Z,M-005,77.92,0.016,1420
2025-06-19T14:00:33.565226Z,M-001,73.73,0.019,1402
2025-06-19T14:00:34.565226Z,M-004,62.64,0.012,1470
2025-06-19T14:00:35.565226Z,M-004,84.66,0.026,1427
2025-06-19T14:00:36.565226Z,M-001,73.11,0.023,1564
2025-06-19T14:00:37.565226Z,M-002,60.61,0.02,1420
2025-06-19T14:00:38.565226Z,M-001,84.55,0.02,1516
2025-06-19T14:00:39.565226Z,M-004,84.09,0.011,1514
2025-06-19T14:00:40.565226Z,M-004,69.41,0.02,1561
2025-06-19T14:00:41.565226Z,M-003,68.23,0.028,1484
2025-06-19T14:00:42.565226Z,M-003,63.73,0.027,1432
2025-06-19T14:00:43.565226Z,M-002,60.22,0.021,1488
2025-06-19T14:00:44.565226Z,M-004,77.93,0.025,1581
2025-06-19T14:00:45.565226Z,M-001,64.16,0.02,1490
2025-06-19T14:00:46.565226Z,M-001,76.28,0.027,1519
2025-06-19T14:00:47.565226Z,M-002,68.68,0.011,1474
2025-06-19T14:00:48.565226Z,M-002,79.31,0.021,1421
2025-06-19T14:00:49.565226Z,M-004,62.77,0.021,1447
2025-06-19T14:00:50.565226Z,M-001,81.39,0.02,1413
2025-06-19T14:00:51.565226Z,M-001,86.11,0.018,1587
2025-06-19T14:00:52.565226Z,M-004,71.24,0.013,1495
2025-06-19T14:00:53.565226Z,M-004,76.52,0.018,1428
2025-06-19T14:00:54.565226Z,M-002,74.03,0.019,1592
2025-06-19T14:00:55.565226Z,M-005,74.67,0.026,1492
2025-06-19T14:00:56.565226Z,M-005,76.79,0.021,1555
2025-06-19T14:00:57.565226Z,M-004,79.7,0.027,1527
2025-06-19T14:00:58.565226Z,M-001,71.12,0.02,1502
2025-06-19T14:00:59.565226Z,M-001,70.33,0.027,1573
2025-06-19T14:01:00.565226Z,M-002,74.4,0.021,1414
2025-06-19T14:01:01.565226Z,M-005,87.37,0.027,1423
2025-06-19T14:01:02.565226Z,M-002,84.94,0.014,1442
2025-06-19T14:01:03.565226Z,M-005,79.77,0.018,1473
2025-06-19T14:01:04.565226Z,M-003,69.85,0.025,1462
2025-06-19T14:01:05.565226Z,M-003,61.48,0.025,1425
2025-06-19T14:01:06.565226Z,M-001,84.53,0.013,1480
2025-06-19T14:01:07.565226Z,M-003,87.0,0.026,1588
2025-06-19T14:01:08.565226Z,M-002,60.82,0.01,1577
2025-06-19T14:01:09.565226Z,M-004,67.79,0.025,1431
2025-06-19T14:01:10.565226Z,M-001,80.53,0.025,1400
2025-06-19T14:01:11.565226Z,M-002,73.46,0.018,1540
2025-06-19T14:01:12.565226Z,M-001,69.72,0.025,1462
2025-06-19T14:01:13.565226Z,M-001,77.75,0.02,1482
2025-06-19T14:01:14.565226Z,M-003,78.93,0.026,1472
2025-06-19T14:01:15.565226Z,M-003,89.73,0.029,1427
2025-06-19T14:01:16.565226Z,M-002,85.09,0.023,1492
2025-06-19T14:01:17.565226Z,M-004,83.05,0.014,1476
2025-06-19T14:01:18.565226Z,M-002,63.65,0.019,1443
2025-06-19T14:01:19.565226Z,M-001,86.81,0.021,1454
2025-06-19T14:01:20.565226Z,M-001,83.83,0.026,1560
2025-06-19T14:01:21.565226Z,M-004,88.1,0.026,1409
2025-06-19T14:01:22.565226Z,M-005,86.43,0.011,1433
2025-06-19T14:01:23.565226Z,M-002,86.11,0.011,1518
2025-06-19T14:01:24.565226Z,M-003,74.72,0.024,1514
2025-06-19T14:01:25.565226Z,M-005,89.07,0.011,1545
2025-06-19T14:01:26.565226Z,M-002,77.26,0.017,1450
2025-06-19T14:01:27.565226Z,M-002,70.33,0.016,1518
2025-06-19T14:01:28.565226Z,M-004,63.8,0.018,1584
2025-06-19T14:01:29.565226Z,M-001,78.24,0.017,1478
2025-06-19T14:01:30.565226Z,M-005,83.53,0.029,1559
2025-06-19T14:01:31.565226Z,M-005,77.35,0.027,1404
2025-06-19T14:01:32.565226Z,M-002,75.14,0.014,1526
2025-06-19T14:01:33.565226Z,M-002,71.29,0.02,1476
2025-06-19T14:01:34.565226Z,M-004,70.6,0.02,1568
2025-06-19T14:01:35.565226Z,M-004,82.97,0.013,1589
2025-06-19T14:01:36.565226Z,M-002,79.46,0.012,1501
2025-06-19T14:01:37.565226Z,M-005,63.12,0.02,1581
2025-06-19T14:01:38.565226Z,M-002,82.37,0.014,1463
2025-06-19T14:01:39.565226Z,M-004,83.89,0.012,1497
2025-06-19T14:01:40.565226Z,M-002,67.31,0.017,1402
2025-06-19T14:01:41.565226Z,M-002,61.07,0.019,1452
2025-06-19T14:01:42.565226Z,M-004,64.99,0.02,1593
2025-06-19T14:01:43.565226Z,M-002,61.61,0.029,1407
2025-06-19T14:01:44.565226Z,M-002,75.73,0.013,1431
2025-06-19T14:01:45.565226Z,M-003,81.04,0.024,1424
2025-06-19T14:01:46.565226Z,M-004,82.62,0.013,1442
2025-06-19T14:01:47.565226Z,M-002,89.76,0.029,1544
2025-06-19T14:01:48.565226Z,M-004,86.22,0.025,1499
2025-06-19T14:01:49.565226Z,M-003,75.87,0.014,1596
2025-06-19T14:01:50.565226Z,M-002,78.58,0.021,1553
2025-06-19T14:01:51.565226Z,M-005,74.18,0.028,1429
2025-06-19T14:01:52.565226Z,M-004,89.68,0.025,1450
2025-06-19T14:01:53.565226Z,M-002,62.89,0.011,1592
2025-06-19T14:01:54.565226Z,M-002,75.37,0.025,1492
2025-06-19T14:01:55.565226Z,M-005,65.71,0.012,1536
2025-06-19T14:01:56.565226Z,M-004,73.56,0.03,1474
2025-06-19T14:01:57.565226Z,M-004,60.66,0.029,1482
2025-06-19T14:01:58.565226Z,M-002,67.74,0.021,1451
2025-06-19T14:01:59.565226Z,M-002,82.84,0.023,1470
2025-06-19T14:02:00.565226Z,M-003,64.43,0.026,1524
2025-06-19T14:02:01.565226Z,M-001,67.88,0.028,1591
2025-06-19T14:02:02.565226Z,M-004,85.07,0.019,1469
2025-06-19T14:02:03.565226Z,M-003,80.74,0.027,1572
2025-06-19T14:02:04.565226Z,M-002,79.61,0.022,1566
2025-06-19T14:02:05.565226Z,M-004,63.85,0.012,1584
2025-06-19T14:02:06.565226Z,M-004,88.52,0.028,1505
2025-06-19T14:02:07.565226Z,M-003,84.02,0.016,1446
2025-06-19T14:02:08.565226Z,M-005,69.89,0.015,1471
2025-06-19T14:02:09.565226Z,M-002,73.96,0.011,1445
2025-06-19T14:02:10.565226Z,M-004,87.75,0.019,1566
2025-06-19T14:02:11.565226Z,M-003,72.39,0.017,1563
2025-06-19T14:02:12.565226Z,M-002,89.61,0.023,1519
2025-06-19T14:02:13.565226Z,M-001,82.87,0.019,1507
2025-06-19T14:02:14.565226Z,M-005,75.75,0.029,1556
2025-06-19T14:02:15.565226Z,M-005,83.98,0.026,1505
2025-06-19T14:02:16.565226Z,M-005,69.62,0.02,1516
2025-06-19T14:02:17.565226Z,M-005,65.91,0.012,1518
2025-06-19T14:02:18.565226Z,M-004,79.3,0.015,1448
2025-06-19T14:02:19.565226Z,M-003,65.12,0.026,1471
2025-06-19T14:02:20.565226Z,M-003,89.93,0.03,1420
2025-06-19T14:02:21.565226Z,M-004,66.79,0.016,1505
2025-06-19T14:02:22.565226Z,M-003,72.77,0.018,1419
2025-06-19T14:02:23.565226Z,M-003,60.8,0.021,1422
2025-06-19T14:02:24.565226Z,M-005,68.82,0.012,1480
2025-06-19T14:02:25.565226Z,M-003,85.88,0.019,1439
2025-06-19T14:02:26.565226Z,M-002,79.56,0.016,1563
2025-06-19T14:02:27.565226Z,M-002,83.99,0.028,1527
2025-06-19T14:02:28.565226Z,M-003,81.08,0.011,1445
2025-06-19T14:02:29.565226Z,M-001,89.84,0.015,1421
2025-06-19T14:02:30.565226Z,M-003,79.45,0.015,1432
2025-06-19T14:02:31.565226Z,M-004,82.86,0.012,1416
2025-06-19T14:02:32.565226Z,M-002,83.07,0.022,1555
2025-06-19T14:02:33.565226Z,M-002,72.31,0.021,1538
2025-06-19T14:02:34.565226Z,M-002,65.39,0.017,1480
2025-06-19T14:02:35.565226Z,M-002,72.07,0.027,1571
2025-06-19T14:02:36.565226Z,M-004,74.23,0.013,1474
2025-06-19T14:02:37.565226Z,M-004,76.72,0.019,1550
2025-06-19T14:02:38.565226Z,M-004,63.78,0.014,1488
2025-06-19T14:02:39.565226Z,M-001,60.65,0.019,1401
2025-06-19T14:02:40.565226Z,M-002,81.12,0.025,1446
2025-06-19T14:02:41.565226Z,M-003,68.79,0.017,1577
2025-06-19T14:02:42.565226Z,M-003,76.53,0.023,1594
2025-06-19T14:02:43.565226Z,M-005,86.26,0.019,1519
2025-06-19T14:02:44.565226Z,M-005,82.49,0.024,1561
2025-06-19T14:02:45.565226Z,M-003,75.73,0.02,1430
2025-06-19T14:02:46.565226Z,M-001,76.78,0.018,1516
2025-06-19T14:02:47.565226Z,M-002,74.4,0.022,1511
2025-06-19T14:02:48.565226Z,M-003,83.78,0.026,1454
2025-06-19T14:02:49.565226Z,M-004,60.45,0.014,1441
2025-06-19T14:02:50.565226Z,M-005,64.36,0.027,1449
2025-06-19T14:02:51.565226Z,M-005,75.93,0.016,1566
2025-06-19T14:02:52.565226Z,M-002,61.2,0.026,1514
2025-06-19T14:02:53.565226Z,M-003,88.21,0.021,1490
2025-06-19T14:02:54.565226Z,M-001,75.74,0.03,1518
2025-06-19T14:02:55.565226Z,M-002,61.79,0.028,1586
2025-06-19T14:02:56.565226Z,M-003,78.46,0.024,1547
2025-06-19T14:02:57.565226Z,M-001,76.8,0.01,1441
2025-06-19T14:02:58.565226Z,M-002,74.57,0.018,1585
2025-06-19T14:02:59.565226Z,M-001,86.67,0.014,1600
2025-06-19T14:03:00.565226Z,M-002,86.34,0.029,1401
