event_time,machine_id,temperature,vibration,rpm
2025-06-19T13:59:48.565226Z,M-001,87.71,0.019,1474
2025-06-19T13:59:54.565226Z,M-002,85.04,0.014,1513
2025-06-19T13:59:59.565226Z,M-001,86.09,0.027,1435
2025-06-19T14:00:02.565226Z,M-004,86.38,0.011,1599
2025-06-19T14:00:10.565226Z,M-002,85.24,0.012,1462
2025-06-19T14:00:13.565226Z,M-001,86.79,0.017,1515
2025-06-19T14:00:18.565226Z,M-003,87.38,0.025,1402
2025-06-19T14:00:21.565226Z,M-005,86.76,0.011,1546
2025-06-19T14:00:23.565226Z,M-001,85.92,0.013,1401
2025-06-19T14:00:31.565226Z,M-003,88.69,0.013,1534
2025-06-19T14:00:51.565226Z,M-001,86.11,0.018,1587
2025-06-19T14:01:01.565226Z,M-005,87.37,0.027,1423
2025-06-19T14:01:07.565226Z,M-003,87.0,0.026,1588
2025-06-19T14:01:15.565226Z,M-003,89.73,0.029,1427
2025-06-19T14:01:16.565226Z,M-002,85.09,0.023,1492
2025-06-19T14:01:19.565226Z,M-001,86.81,0.021,1454
2025-06-19T14:01:21.565226Z,M-004,88.1,0.026,1409
2025-06-19T14:01:22.565226Z,M-005,86.43,0.011,1433
2025-06-19T14:01:23.565226Z,M-002,86.11,0.011,1518
2025-06-19T14:01:25.565226Z,M-005,89.07,0.011,1545
2025-06-19T14:01:47.565226Z,M-002,89.76,0.029,1544
2025-06-19T14:01:48.565226Z,M-004,86.22,0.025,1499
2025-06-19T14:01:52.565226Z,M-004,89.68,0.025,1450
2025-06-19T14:02:02.565226Z,M-004,85.07,0.019,1469
2025-06-19T14:02:06.565226Z,M-004,88.52,0.028,1505
2025-06-19T14:02:10.565226Z,M-004,87.75,0.019,1566
2025-06-19T14:02:12.565226Z,M-002,89.61,0.023,1519
2025-06-19T14:02:20.565226Z,M-003,89.93,0.03,1420
2025-06-19T14:02:25.565226Z,M-003,85.88,0.019,1439
2025-06-19T14:02:29.565226Z,M-001,89.84,0.015,1421
2025-06-19T14:02:43.565226Z,M-005,86.26,0.019,1519
2025-06-19T14:02:53.565226Z,M-003,88.21,0.021,1490
2025-06-19T14:02:59.565226Z,M-001,86.67,0.014,1600
2025-06-19T14:03:00.565226Z,M-002,86.34,0.029,1401
2025-06-19T14:03:07.565226Z,M-004,89.19,0.019,1419
2025-06-19T14:03:08.565226Z,M-001,87.33,0.024,1584
2025-06-19T14:03:17.565226Z,M-003,87.36,0.02,1539
2025-06-19T14:03:24.565226Z,M-001,87.87,0.018,1595
2025-06-19T14:03:28.565226Z,M-002,86.45,0.015,1480
2025-06-19T14:03:36.565226Z,M-005,88.5,0.019,1560
2025-06-19T14:03:41.565226Z,M-002,86.99,0.012,1532
2025-06-19T14:03:43.565226Z,M-003,85.04,0.023,1453
2025-06-19T14:03:44.565226Z,M-001,88.32,0.019,1455
2025-06-19T14:03:48.565226Z,M-003,87.35,0.028,1516
2025-06-19T14:03:54.565226Z,M-004,86.32,0.025,1408
